First;Last;Nickname;Ht.;Wt.;Reach;Stance;W;L;D;Foot;Inches;Height_cm;Weight.Lbs;Weight.Kg
Tom;Aaron;;--;155 lbs.;--;;5;3;0;;;;155.0;70.30676
Danny;Abbadi;The Assassin;"5' 11""";155 lbs.;--;Orthodox;4;6;0;5.0;11.0;180.34;155.0;70.30676
Nariman;Abbasov;Bayraktar;"5' 8""";155 lbs.;"66.0""";Orthodox;28;4;0;5.0;8.0;172.72;155.0;70.30676
Darion;Abbey;;"6' 2""";265 lbs.;"80.0""";Orthodox;9;5;0;6.0;2.0;187.96;265.0;120.20188
David;Abbott;Tank;"6' 0""";265 lbs.;--;Switch;10;15;0;6.0;0.0;182.88;265.0;120.20188
Hamdy;Abdelwahab;The Hammer;"6' 2""";265 lbs.;"72.0""";Southpaw;7;1;0;6.0;2.0;187.96;265.0;120.20188
Mansur;Abdul-Malik;;"6' 2""";185 lbs.;"80.0""";Orthodox;9;0;1;6.0;2.0;187.96;185.0;83.91452
Shamil;Abdurakhimov;Abrek;"6' 3""";235 lbs.;"76.0""";Orthodox;20;8;0;6.0;3.0;190.5;235.0;106.59412
Hiroyuki;Abe;Abe Ani;"5' 6""";145 lbs.;--;Orthodox;8;15;3;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Daichi;Abe;;"5' 11""";170 lbs.;"71.0""";Orthodox;6;2;0;5.0;11.0;180.34;170.0;77.11064
Papy;Abedi;Makambo;"5' 11""";185 lbs.;--;Southpaw;10;4;0;5.0;11.0;180.34;185.0;83.91452
Ricardo;Abreu;Demente;"5' 11""";185 lbs.;--;Orthodox;5;1;0;5.0;11.0;180.34;185.0;83.91452
Klidson;Abreu;White Bear;"6' 0""";205 lbs.;"74.0""";Orthodox;15;4;0;6.0;0.0;182.88;205.0;92.98636
Cyborg;Abreu;;--;--;--;;0;0;0;;;;;
Daniel;Acacio;;"5' 8""";180 lbs.;--;Orthodox;30;18;0;5.0;8.0;172.72;180.0;81.64656
John;Adajar;The Outlaw;"5' 9""";170 lbs.;"75.0""";Orthodox;6;2;0;5.0;9.0;175.26;170.0;77.11064
Scott;Adams;;"6' 0""";225 lbs.;--;Southpaw;8;1;0;6.0;0.0;182.88;225.0;102.0582
Juan;Adams;The Kraken;"6' 5""";265 lbs.;"80.0""";Orthodox;5;3;0;6.0;5.0;195.58;265.0;120.20188
