Event;Date;Place;Fighter;KD;STR;TD;SUB;WEIGHT.CLASS;METHOD;ROUND;TIME;RESULT
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Mario Bautista;0;15;5;1;Bantamweight;"SUB

      

        Rear Naked Choke";2;4:46;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Vinicius Oliveira;0;12;0;0;Bantamweight;"SUB

      

        Rear Naked Choke";2;4:46;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Kyoji Horiguchi;0;73;0;0;Flyweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Amir Albazi;0;16;0;0;Flyweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Rizvan Kuniev;0;43;0;0;Heavyweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Jailton Almeida;0;31;0;0;Heavyweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Michal Oleksiejczuk;0;140;1;0;Middleweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Marc-Andre Barriault;0;77;0;0;Middleweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Farid Basharat;0;80;2;0;Bantamweight;S-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Jean Matsumoto;0;76;7;0;Bantamweight;S-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Dustin Jacoby;1;42;0;0;Light Heavyweight;"KO/TKO

      

        Punches";2;1:42;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Julius Walker;0;7;3;0;Light Heavyweight;"KO/TKO

      

        Punches";2;1:42;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Daniil Donchenko;1;100;0;0;Welterweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Alex Morono;0;40;0;0;Welterweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Nikolay Veretennikov;0;19;0;0;Welterweight;"KO/TKO

      

        Punches";1;1:42;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Niko Price;0;9;0;0;Welterweight;"KO/TKO

      

        Punches";1;1:42;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Ketlen Souza;0;33;1;0;Women's Strawweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Bruna Brasil;0;31;1;0;Women's Strawweight;U-DEC;3;5:00;lose
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Javid Basharat;1;59;3;0;Bantamweight;U-DEC;3;5:00;win
UFC Fight Night: Bautista vs. Oliveira;"Date:
      
      February 07, 2026";"Location:
      

      Las Vegas, Nevada, USA";Gianni Vazquez;0;24;0;2;Bantamweight;U-DEC;3;5:00;lose
